wl,data,model_comp05,model_cool05,model_hot05,model_comp50,model_cool50,model_hot50,model_comp95,model_cool95,model_hot95
16921.824142483187,0.23902688693883384,0.2391473250004761,0.00655603557026766,0.23259128943021273,0.24054134495342436,0.03005980880979984,0.2104815361436288,0.23751973147642286,0.049130808664182415,0.18838892281224434
16921.934362757725,0.23907995268779458,0.23906157355354096,0.006547917818486092,0.23251365573505917,0.2404153134289354,0.030023509045129963,0.21039180438380972,0.23733527246717923,0.049027681264577884,0.18830759120260523
16922.044571606177,0.24165013951964393,0.23900231459239976,0.006542583703204487,0.23245973088919955,0.24027988277673862,0.02999231244248501,0.21028757033425788,0.23718572683084194,0.048968574408128046,0.18821715242271778
16922.15476903489,0.24049284735897544,0.23894657996159457,0.006538587862135761,0.2324079920994631,0.24016103575852,0.029965621668258065,0.2101954140902662,0.2370724868678294,0.04893805679274977,0.18813443007508351
16922.264955050206,0.24268906021435185,0.23888775492412007,0.006533889578618932,0.23235386534550542,0.24006561748392688,0.029939935448999776,0.21012568203493137,0.23697114791602708,0.048903622452016404,0.18806752546401456
16922.375129658485,0.24122572076458193,0.23879467550748035,0.006526593509661382,0.23226808199782326,0.23997483647261253,0.02990934769444902,0.2100654887781678,0.23684381663011064,0.04883731047813656,0.18800650615197798
16922.485292866073,0.24214445023918452,0.2386299434728014,0.006515043448972179,0.2321149000238335,0.23984441851362046,0.029865496923421445,0.2099789215902033,0.23663980726848519,0.04871542157548803,0.18792438569300104
16922.59544467932,0.24121881763040515,0.2383707441883236,0.006497677637272949,0.2318730665510549,0.23963205047633576,0.02979810957459671,0.20983394090174332,0.23631026430224925,0.048516462612583994,0.18779380168966914
16922.705585104584,0.23977044710492898,0.23802652248959083,0.006473847934721339,0.23155267455487374,0.2393278106560967,0.029699222310052873,0.2096285883460481,0.23583659980215788,0.048227927605349594,0.18760867219681215
16922.815714148226,0.2380364250654973,0.23764544504927496,0.0064446032155771864,0.23120084183370201,0.2389551623152108,0.02956874780386723,0.20938641451134782,0.23524754778255963,0.04785828941613357,0.18738925836642992
16922.92583181659,0.2367686430885198,0.23728850160731133,0.0064128242302942725,0.2308756773770213,0.23853202958798073,0.02941575762844679,0.20911627195953816,0.2346002018041803,0.04744545937638046,0.18715474242780367
16923.03593811603,0.23925775488367668,0.23697891729425064,0.006382933076499243,0.2305959842177556,0.23801679802143058,0.029258028193797945,0.20875876982763686,0.23393071688377334,0.04705726079077023,0.18687345609300696
16923.146033052926,0.2425240018341727,0.23663841248645653,0.006360471458081259,0.23027794102837948,0.23751135037719698,0.0291379523906743,0.2083733979865269,0.23330407354630495,0.04679364518354557,0.1865104283627632
16923.256116633613,0.24254540095463767,0.23616843501876517,0.006349827487191461,0.2298186075315779,0.23709415608439843,0.029073891484757454,0.2080202645996452,0.23285681367574265,0.046701020166177415,0.18615579350956904
16923.366188864464,0.23884738391618623,0.23569088567908128,0.006348014821212034,0.22934287085787344,0.2366400682023571,0.029048092787365896,0.20759197541499544,0.23246484633110304,0.04672883423959878,0.18573601209150806
16923.476249751842,0.23624641459940587,0.23524057675164758,0.00634964192740415,0.22889093482424763,0.2362004851114731,0.029047249501077014,0.2071532356104003,0.23212363952241324,0.04681842827461841,0.18530521124779864
16923.586299302104,0.2346060165065723,0.23487204216601215,0.006352950189587569,0.22851909197642878,0.23584217517086165,0.029071343769977442,0.2067708314008884,0.23189164610885726,0.04694828628108544,0.18494335982777563
16923.696337521622,0.24106110086632096,0.23463102597538626,0.006358784691680318,0.22827224128371013,0.23559617201000366,0.029122968113918155,0.2064732038960897,0.23180666145512405,0.04713266513108464,0.18467399632404322
16923.806364416756,0.24283282214531385,0.2345240403676579,0.006369037209443168,0.2281550031582189,0.2355184213020295,0.029203801155585806,0.20631462014644789,0.23190935754304615,0.047388625867405366,0.1845207316756446
16923.916379993865,0.2448955177628872,0.23457213227952783,0.006385540123303416,0.2281865921562286,0.2356982693920528,0.029314921659691545,0.20638334773236544,0.23225100781715752,0.04771340446012066,0.18453760335704067
16924.026384259334,0.24465021791614522,0.2348262298997773,0.0064092050686350615,0.22841702483114645,0.23621330387588002,0.029456592764053244,0.20675671111183097,0.23287712217965495,0.048086377569466224,0.18479074461019254
16924.136377219525,0.24152950024563102,0.23532615825216882,0.006439182189696368,0.22888697606247668,0.2370459651442608,0.02962211268475912,0.20742385245950593,0.23377413670776342,0.048477964934812434,0.18529617177295485
16924.246358880802,0.24147250049179805,0.23604161310653923,0.006472964317502414,0.22956864878904104,0.23806313358017972,0.029794219920137546,0.20826891366004643,0.23483687020580413,0.04885240790589952,0.18598446229990845
16924.35632924954,0.24298941901282908,0.23685959753277064,0.006506976268906699,0.2303526212638682,0.2390630593551608,0.029950227047277705,0.20911283230788738,0.2358951064855413,0.04917539625728139,0.18671971022826378
16924.46628833212,0.240945546065541,0.23762874887867202,0.006537423760107618,0.23109132511856867,0.23984740502098928,0.030071691923569527,0.20977571309742402,0.2367748861077618,0.04942728596501787,0.18734760014274782
16924.576236134904,0.24098802334943872,0.23823476942452051,0.006561300102850634,0.23167346932167415,0.24030537911892835,0.03015001911694623,0.21015536000198642,0.23736596390901551,0.04960762166818075,0.18775834224083868
16924.68617266427,0.2411072731927626,0.23863556632919383,0.006578218206465988,0.23205734812273213,0.24047305078068387,0.030187056503609477,0.2102859942770787,0.23766712280371843,0.04972291762440848,0.18794420517931387
16924.796097926606,0.2384831737664744,0.2388573182206087,0.00658915738499349,0.2322681608356195,0.24050281262860296,0.030200286547342966,0.2103025260812643,0.23778586981824365,0.04979005615794107,0.1879958136603065
16924.906011928273,0.24194805638178216,0.23897753410138778,0.006595407586168177,0.23238212651522389,0.24049078554741596,0.030211080397703354,0.21027970514971692,0.2378459956648229,0.04984178844431492,0.1880042072205119
16925.015914675652,0.24223052709948267,0.23904896546976892,0.00659939675086901,0.2324495687189042,0.24045787582272246,0.03022606968921528,0.2102318061335115,0.23788223928051178,0.049900396848086746,0.18798184243242894
16925.12580617514,0.24406386823470086,0.2390713336493106,0.006602665056093222,0.23246866859322166,0.2404259125114597,0.030245066123608493,0.2101808463878555,0.2379050072025426,0.04996204150111873,0.18794296570142777
16925.235686433094,0.2444745317826318,0.23906172942728482,0.006605723142005287,0.23245600628528382,0.2404088045927132,0.030265394692058873,0.2101434099006586,0.23791955220276462,0.05001307369978957,0.18790647850297895
16925.345555455908,0.241067520812471,0.2390378000105399,0.006608703549911608,0.23242909646063256,0.24040616110662877,0.030283197641581543,0.21012296346505152,0.2379219293296732,0.050041757632954695,0.18788017169672244
16925.45541324997,0.23958966366962167,0.23901486149977078,0.006611405027481913,0.23240345647229316,0.24041233641122894,0.030294678393490277,0.21011765801774296,0.23790708351824963,0.05004119437308801,0.18786588914516553
16925.56525982166,0.24137712034525693,0.2390127839456305,0.0066132894761442,0.23239949446949057,0.2404333821286004,0.030298513212153304,0.21013486891645142,0.23788239092965313,0.05001031384695091,0.18787207708270615
16925.675095177365,0.24313889603080566,0.23905023714628507,0.0066136401726739685,0.23243659697361538,0.24048806166252723,0.030296069192963727,0.21019199246956782,0.237867405215625,0.049954341987703314,0.1879130632279256
16925.784919323458,0.24103142499873123,0.23914110022665505,0.006611791891618329,0.232529308335041,0.24059251846594992,0.030287536090929875,0.21030498237502435,0.23787919265803342,0.049876792145237395,0.18800240051279993
16925.89473226635,0.2421997498488503,0.23929032173251236,0.006607245590418886,0.23268307614209777,0.24075091913260904,0.03026903145652069,0.21048188767609266,0.23791923635381282,0.049769479444459155,0.1881497569093576
16926.00453401242,0.23985368342109675,0.2394805510962346,0.006600103975853663,0.23288044712038522,0.24094042484719488,0.030235235559576003,0.2107051892876232,0.23795931182248614,0.04961580918729185,0.1883435026351982
16926.114324568054,0.24105660732194023,0.23969316263712434,0.006591221614945145,0.23310194102218348,0.24110002893052965,0.03018771284571779,0.21091231608481617,0.23795064441126496,0.04941120847123029,0.18853943594003858
16926.22410393965,0.2407224572654323,0.23990023520441428,0.006582040431904672,0.2333181947725139,0.2411747580912792,0.030131945273524943,0.21104281281775858,0.23786524104444307,0.0491814126182979,0.18868382842614906
