HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457360.09761,2015-12-03.5948675,ba,1.62,15.946,13.336,0.020,17.770,0.324,V
2457362.09170,2015-12-05.5887832,ba,1.64,16.083,13.346,0.018,17.599,0.286,V
2457362.09295,2015-12-05.5900369,ba,1.65,16.135,13.336,0.017,17.754,0.272,V
2457362.09421,2015-12-05.5913003,ba,1.63,16.128,13.353,0.017,17.477,0.274,V
2457364.05443,2015-12-07.5513516,ba,1.67,16.087,13.327,0.017,17.906,0.284,V
2457364.05570,2015-12-07.5526199,ba,1.64,16.187,13.297,0.015,18.415,0.259,V
2457364.05694,2015-12-07.5538625,ba,1.60,16.166,13.301,0.016,18.348,0.264,V
2457365.95634,2015-12-09.4531070,ba,1.81,15.963,13.333,0.019,17.815,0.318,V
2457365.95758,2015-12-09.4543454,ba,1.82,15.975,13.341,0.019,17.682,0.315,V
2457365.95884,2015-12-09.4556002,ba,2.01,15.974,13.373,0.020,17.167,0.315,V
2457366.97195,2015-12-10.4686258,ba,1.79,16.095,13.294,0.017,18.468,0.282,V
2457366.97319,2015-12-10.4698732,ba,1.81,16.144,13.378,0.017,17.098,0.271,V
2457366.97444,2015-12-10.4711255,ba,1.68,16.112,13.359,0.017,17.385,0.279,V
2457369.91595,2015-12-13.4123976,ba,1.65,16.034,13.303,0.018,18.321,0.300,V
2457369.91720,2015-12-13.4136517,ba,1.64,16.102,13.312,0.017,18.160,0.281,V
2457369.91847,2015-12-13.4149182,ba,1.69,16.050,13.322,0.018,17.994,0.295,V
2457374.90334,2015-12-18.3994148,ba,2.16,15.828,13.245,0.020,19.323,0.361,V
2457374.90459,2015-12-18.4006695,ba,2.25,15.883,13.254,0.019,19.158,0.342,V
2457374.90585,2015-12-18.4019199,ba,2.14,15.817,13.351,0.023,17.509,0.364,V
2457379.90317,2015-12-23.3988994,ba,1.72,15.616,13.339,0.027,17.718,0.438,V
2457379.90442,2015-12-23.4001523,ba,1.67,15.493,13.332,0.030,17.831,0.489,V
2457379.90567,2015-12-23.4014045,ba,1.70,15.420,13.334,0.032,17.797,0.523,V
2457387.05550,2015-12-30.5507967,ba,1.70,15.846,13.324,0.022,17.958,0.355,V
2457387.05674,2015-12-30.5520379,ba,1.72,15.908,13.415,0.022,16.521,0.335,V
2457387.05799,2015-12-30.5532871,ba,1.71,15.949,13.355,0.020,17.455,0.323,V
2457387.88924,2015-12-31.3844959,ba,1.68,16.046,13.400,0.019,16.744,0.295,V
2457387.89049,2015-12-31.3857351,ba,1.68,15.941,13.364,0.020,17.301,0.324,V
2457387.89174,2015-12-31.3869884,ba,1.65,15.967,13.397,0.021,16.802,0.317,V
2457391.04965,2016-01-03.5447315,ba,1.69,16.070,13.376,0.018,17.122,0.289,V
